,5c58799afaea1331935fda2c,5c587a02faea1331f3c8f128,5c587a19faea1331fba7adef,5c587a34faea133204da79f8,5c587a42faea133204da7a08,5c587a49faea133204da7a12,5c587a4efaea133204da7a19,5c587a5afaea133204da7a28,5c587a64faea133204da7a35,5c587a6bfaea133204da7a3f,5c587a78faea133204da7a4f,5c587a84faea133204da7a5f,5c587a8ffaea133204da7a6d,5c587a94faea133204da7a75,5c587a9efaea133204da7a82,5c587aa5faea133204da7a8b,5c587aa9faea133204da7a91,5c587ab8faea133204da7aa5,5c587abffaea133204da7aae,5c587acdfaea133204da7abf,5c587adcfaea133204da7ad0,5c587ae8faea133204da7ade,5c587aeefaea133204da7ae5,5c595355faea134a77ea150e
5c55a0d1faea1375ab89ea80,,,,,,,,,,-0.10852676531026706,,,,,,,,,,,,,,
5c55a0d7faea1375ab89ea86,,,,,,,,,,,,,-1.1856354049303985,,,,,,,-0.9092400415469521,,,,
5c55a0dbfaea1375ab89ea96,,,,,,,,,,,,,,,,,,,,,0.44614829270242007,,,
5c55a0defaea1375ab89eaa0,,0.3219760042025439,,,,,,,,,,,,,,,,,,,,,,
5c55a0e9faea1375ab89eac8,,,,,,,,,,,,,,,,,,,,,,,-0.6401868471334686,
5c55a0ebfaea1375ab89eace,,,,,,,0.01804649059603536,,,,,,,,,,,,,,,,,
5c55a0f9faea1375ab89eb01,,,,-0.5969210782508401,,,,,,,,,,,,,,,,,,,,
5c55a0fbfaea1375ab89eb08,,,,,,,,,-1.0670753194768294,,,-0.5921857956524019,,-0.7103339422927593,,,,,,,,,,
5c55a0fffaea1375ab89eb15,,,,,,,,,,,,,,,,,,,,,-1.3828208242619602,,,
5c55a108faea1375ab89eb36,,,,,,,,,,,,,,,,,,,,,,,-0.2564847295885233,
5c55a10bfaea1375ab89eb40,,0.40113086993548963,,,,,,,,,,,,,,,,,,,,,,
5c55a10ffaea1375ab89eb50,,,,,,,,,,0.9094985476937998,,,,,,,,,,,,,,
5c55a111faea1375ab89eb57,,,,,,,,,,,,,,,,,,,,-0.05294464075909744,,,,
5c55a128faea1375ab89eb94,,,,,,,,,,,,,,,,,,,,,0.7633006866070913,,,
5c55a12afaea1375ab89eb9a,,,,-0.17520470684885225,,,,,,,,,,,,,,,,,,,,
5c55a12dfaea1375ab89eba4,,,,,,,,,,,,,,,,,,,,,,,-0.2433674819569931,
5c55a131faea1375ab89ebb5,,,,,,,,,,,,-1.2386820994549006,,-0.5952490136758741,,,,,,,,,,
5c55a13dfaea1375ab89ebe0,,-0.08480857006941944,,,,,,,,,,,,,,,,,,,,,,
5c55a14bfaea1375ab89ec12,,,,,,,,,,,,,,,,,,,,,,,-0.6184974061989514,
5c55a14bfaea1375ab89ec13,,,,,,,,,,,,,,,,,,,,,-0.608276901363388,,,
5c55a14ffaea1375ab89ec20,,,,,,,,,,0.28854718894923836,,,,,,,,,,,,,,
5c55a151faea1375ab89ec28,,,,,,,,,,,,,,,,,,,,-1.0743418279331471,,,,
5c55a154faea1375ab89ec33,,,,-1.1653095021701114,,,,,,,,,,,,,,,,,,,,
5c55a161faea1375ab89ec62,,,,,,,,,,,,-0.6210400387566972,,-0.4370768866723891,,,,,,,,,,
5c55a16ffaea1375ab89ec80,,0.13592900278420705,,,,,,,,,,,,,,,,,,,,,-0.2687594189039024,
5c55a184faea1375ab89eccc,,,,-0.5996960296538529,,,,,,,,,,,,,,,,,,,,
5c55a18dfaea1375ab89ecee,,,,,,,,,,,,,,,,,,,,,,,0.3176786070938449,
5c55a18efaea1375ab89ecf0,,,,,,,,,,-0.22346045893729238,,,,,,,,,,,,,,
5c55a190faea1375ab89ecf9,,,,,,,,,,,,,,,,,,,,0.4098731071247226,,,,
